"org_ID";"org";"org_type";"founded";"ended";"end_type"
141;"Council Meeting of Hunkpapa Sioux";"";"";"";""
142;"South Carolina General Assembly";"";"";"";""
143;"House Committee on the Judiciary";"";"";"";""
144;"Senate Committee on Woman Suffrage";"";"";"";""
145;"Ethical Culture Societies";"";"";"";""
146;"World's Congress of Representative Women";"";"";"";""
147;"Parliament of the World's Religions";"";"";"";""
148;"National Council of Colored Men";"";"";"";""
149;"Wilberforce University";"";"";"";""
150;"Women's Era Club";"";"";"";""
151;"Atlanta Cotton States and International Conve";"";"";"";""
152;"Colored Debating Society of Nashville";"";"";"";""
153;"Negro Academy";"";"";"";""
154;"International Association of Colored Clergyme";"";"";"";""
155;"Nineteenth Century Club";"";"";"";""
156;"Bethel African Methodist Episcopal Church";"";"";"";""
157;"National Society of Women Workers";"";"";"";""
158;"GA Legislature";"";"";"";""
159;"Congregational Association of Maryland and D.";"";"";"";""
160;"Bethel Literary and Historical Association of";"";"";"";""
161;"Socialist Party Convention";"";"";"";""
162;"Eureka Literary Society";"";"";"";""
163;"Kansas Day Club";"";"";"";""
164;"Memorial Society of Harvard University";"";"";"";""
165;"Industrial Workers of the World (IWW)";"";"";"";""
166;"United Women's Club";"";"";"";""
167;"Afro-American Council";"";"";"";""
168;"American Negro Academy";"";"";"";""
169;"Le Sorbonne, University of Paris";"";"";"";""
170;"Cooper Institute";"";"";"";""
171;"Suffrage School";"";"";"";""
172;"New York Civic Club";"";"";"";""
173;"American Missionary Association and National ";"";"";"";""
174;"Women's Peace Party and Labor Forum";"";"";"";""
175;"Benares Hindu University";"";"";"";""
176;"U.S. Congress";"";"";"";""
177;"Federal Court of Cleveland";"";"";"";""
178;"Fine Arts Guild";"";"";"";""
179;"Livingstone College";"";"";"";""
180;"Vassar College";"";"";"";""
181;"recorded";"";"";"";""
182;"Third Annual International Convention of the ";"";"";"";""
183;"New York State Unified Court System";"";"";"";""
184;"Fourth International Convention of the Negro ";"";"";"";""
185;"Cook County Criminal Court";"";"";"";""
186;"South London Branch of the National Secular S";"";"";"";""
187;"Chicago Forum";"";"";"";""
188;"Georgia Court";"";"";"";""
189;"Foster-Ford Committee for Equal Rights";"";"";"";""
190;"Commonwealth Club";"";"";"";""
191;"Chicago Women's Federation";"";"";"";""
192;"National Broadcasting Company";"";"";"";""
193;"National Press Club";"";"";"";""
194;"Harlem Section of the Communist Party";"";"";"";""
195;"American Federation of Labor";"";"";"";""
196;"Politburo of the Communist Party";"";"";"";""
197;"House of Commons (England)";"";"";"";""
198;"NBC's America's Town Meeting of the Air";"";"";"";""
199;"Chicago Civil Liberties Committee";"";"";"";""
200;"Parliament of England";"";"";"";""
201;"Tolan Committee";"";"";"";""
202;"Free World Association";"";"";"";""
203;"AII National Radio Networks";"";"";"";""
204;"United States Third Army";"";"";"";""
205;"Allied Expeditionary Forces";"";"";"";""
206;"University of Pennsylvania";"";"";"";""
207;"Fifth Nobel Anniversary Dinner";"";"";"";""
208;"Westminster College";"";"";"";""
209;"U.S. House Un-American Activities Committee";"";"";"";""
210;"Constituent Assembly of India";"";"";"";""
211;"Council Against Intolerance in America";"";"";"";""
212;"United Nations General Assembly";"";"";"";""
213;"Nobel Committee";"";"";"";""
214;"Federal Court";"";"";"";""
215;"National Council of the Arts, Sciences, and P";"";"";"";""
216;"American Society of Newspaper Editors";"";"";"";""
217;"National Fraternal Council of Churches, U.S.A";"";"";"";""
218;"Dexter Avenue Baptist Church";"";"";"";""
219;"Second Baptist Church";"";"";"";""
220;"U.S. Senate Subcommittee on Investigations";"";"";"";""
221;"BBC Network";"";"";"";""
222;"20th congress of the Communist party of the U";"";"";"";""
223;"Home Mission Societies of Christian Friends";"";"";"";""
224;"House of Commons";"";"";"";""
225;"National Committee for Rural Schools";"";"";"";""
226;"National Assembly of the Authors' League of A";"";"";"";""
227;"Highlander Folk School";"";"";"";""
228;"Commonwealth Club of California";"";"";"";""
229;"Arkansas Council on Human Welfare";"";"";"";""
230;"2nd Annual Institute on Nonviolence";"";"";"";""
231;"Detroit Branch of the NAACP";"";"";"";""
232;"Supreme Court of the United States";"";"";"";""
233;"All India Radio";"";"";"";""
234;"Atlanta University";"";"";"";""
235;"Morehouse College";"";"";"";""
236;"Civil Rights Congress";"";"";"";""
237;"Youth Leadership Conference";"";"";"";""
238;"Queens College";"";"";"";""
239;"Democratic Party Platform Committee";"";"";"";""
240;"Houston Ministerial Association";"";"";"";""
241;"American Chemical Society";"";"";"";""
242;"Antioch College";"";"";"";""
243;"Air War College";"";"";"";""
244;"American Association for the Advancement of S";"";"";"";""
245;"Women's Forum on National Security";"";"";"";""
246;"Latin American Diplomatic Corps";"";"";"";""
247;"Harvard Law School Forum";"";"";"";""
248;"March Chapel";"";"";"";""
249;"University of Georgia Law School";"";"";"";""
250;"""Open Mind"""" on NBC""";"";"";"";""
251;"Cornell University";"";"";"";""
252;"United States Military Academy";"";"";"";""
253;"Yale University";"";"";"";""
254;"Rice University";"";"";"";""
255;"Ebenezer Baptist Church";"";"";"";""
256;"United Nations Security Council";"";"";"";""
257;"Economic Club of New York";"";"";"";""
258;"Michigan State University";"";"";"";""
259;"Vanderbilt University";"";"";"";""
260;"American University";"";"";"";""
261;"Great March on Detroit";"";"";"";""
262;"March On Washington For Jobs And Freedom";"";"";"";""
263;"Young Men's Business Club";"";"";"";""
264;"University of California - Berkeley";"";"";"";""
265;"Northern Negro Grass Roots Leadership Confere";"";"";"";""
266;"Columbia University";"";"";"";""
267;"Fort Worth Chamber of Commerce";"";"";"";""
268;"Center for the Study of Democratic Institutio";"";"";"";""
269;"Congress of Racial Equality";"";"";"";""
270;"Militant Labor Forum";"";"";"";""
271;"Cherokee Presbytery";"";"";"";""
272;"University of Ghana";"";"";"";""
273;"University of Michigan";"";"";"";""
274;"Organization of Afro-American Unity";"";"";"";""
275;"African Summit Conference";"";"";"";""
276;"Second African Summit Conference";"";"";"";""
277;"Oxford Union Society";"";"";"";""
278;"Nobel Prize Committee";"";"";"";""
279;"Harlem Youth Opportunities Unlimited - ACT Fo";"";"";"";""
280;"Radio Station KQRS";"";"";"";""
281;"London School of Economics";"";"";"";""
282;"Afro-American Broadcasting Company";"";"";"";""
283;"Corn Hill Methodist Church";"";"";"";""
284;"Temple Israel of Hollywood";"";"";"";""
285;"Southern Christian Leadership Conference Conv";"";"";"";""
286;"American Federation of Labor and Congress of ";"";"";"";""
287;"Federal Grand Jury";"";"";"";""
288;"Cape Town University";"";"";"";""
289;"National Planning Conference of Homophile Org";"";"";"";""
290;"Conference of the American Federation of Teac";"";"";"";""
291;"Russell-Sartre Tribunal";"";"";"";""
292;"Morgan State University";"";"";"";""
293;"Clergymen and Laymen Concerned About Vietnam";"";"";"";""
294;"New Covenant Baptist Church";"";"";"";""
295;"Mount Pisgah Missionary Baptist Church";"";"";"";""
296;"University of Colorado, Denver";"";"";"";""
297;"National Security Industrial Association";"";"";"";""
298;"Bishop Charles Mason Temple";"";"";"";""
299;"University of Kansas";"";"";"";""
300;"National Cathedral";"";"";"";""
301;"Church Of God in Christ";"";"";"";""
302;"City Club of Cleveland";"";"";"";""
303;"NAACP Legal Defense Fund";"";"";"";""
304;"Wayne State University";"";"";"";""
305;"The New School for Social Research";"";"";"";""
306;"Black Panther Party";"";"";"";""
307;"Knesset";"";"";"";""
308;"Whittier College";"";"";"";""
309;"U.S. Senate Committee on Foreign Relations";"";"";"";""
310;"Center for Urban-Black Studies";"";"";"";""
311;"Congressional Black Congress Dinner";"";"";"";""
312;"Supreme Court";"";"";"";""
313;"National Women's Political Caucus";"";"";"";""
314;"Academy of Motion Picture Arts and Sciences";"";"";"";""
315;"San Francisco Chapter of the National Women’s";"";"";"";""
316;"Joint International Longshoremen & Warehousem";"";"";"";""
317;"University of Georgia School of Law";"";"";"";""
318;"University of Missouri, Kansas City";"";"";"";""
319;"U.S. House Committee on the Judiciary";"";"";"";""
320;"Indraprastha College for Women";"";"";"";""
321;"American Cancer Society";"";"";"";""
322;"San Francisco Gay Democratic Club";"";"";"";""
323;"Senate Committee on Homeland Security and Gov";"";"";"";""
324;"Gustavus Adolphus College";"";"";"";""
325;"Twin Cities Chapter";"";"";"";""
326;"Scholarly Conference on Black Women";"";"";"";""
327;"Macalester College";"";"";"";""
328;"National Council of Women of the United State";"";"";"";""
329;"British Parliament";"";"";"";""
330;"American Theater Association Convention";"";"";"";""
331;"Mills College";"";"";"";""
332;"Milton Academy";"";"";"";""
333;"National Religious Broadcasters";"";"";"";""
334;"Nuclear Age Peace Foundation";"";"";"";""
335;"National Education Association";"";"";"";""
336;"Bergen-Belsen Memorial";"";"";"";""
337;"Northern Michigan University";"";"";"";""
338;"Gay and Lesbian Community Center";"";"";"";""
339;"Family Worship Center";"";"";"";""
340;"Moscow State University";"";"";"";""
341;"U.S. Senate Committee on Indian Affairs";"";"";"";""
342;"President of South Africa";"";"";"";""
343;"Parliament of South Africa";"";"";"";""
344;"Wellesley College";"";"";"";""
345;"United Nations Special Committee against Apar";"";"";"";""
346;"U.S. Senate Committee on the Judiciary";"";"";"";""
347;"Pennsylvania State University";"";"";"";""
348;"Berklee College of Music";"";"";"";""
349;"Walter F. George School of Law, Mercer Univer";"";"";"";""
350;"Ashbrook Center";"";"";"";""
351;"Massachusetts Institute of Technology (MIT)";"";"";"";""
352;"Church of St. Ignatius Loyola";"";"";"";""
353;"Mercy College";"";"";"";""
354;"Republican Representatives";"";"";"";""
355;"U.S. House";"";"";"";""
356;"Tuskegee Airmen Convention Banquet";"";"";"";""
357;"U.N. 4th World Conference on Women";"";"";"";""
358;"President of the United States";"";"";"";""
359;"Calvin College";"";"";"";""
360;"National Book Foundation";"";"";"";""
361;"U.S. House Science Subcommittee on Technology";"";"";"";""
362;"Central High School Little Rock";"";"";"";""
363;"Geneva College";"";"";"";""
364;"University of Colorado Boulder";"";"";"";""
365;"Seventh White House Millenium Event";"";"";"";""
366;"American Enterprise Institute";"";"";"";""
367;"George Washington University";"";"";"";""
368;"Washington National Cathedral";"";"";"";""
369;"Islamic Center of Washington";"";"";"";""
370;"U.K. Parliament";"";"";"";""
371;"Verkunde Conference";"";"";"";""
372;"Academy of Motion Picture Arts and Sciences (";"";"";"";""
373;"Commonwealth Club, Churchill Club";"";"";"";""
374;"University of Minnesota";"";"";"";""
375;"University of Havana";"";"";"";""
376;"Veterans of Foreign Wars";"";"";"";""
377;"Manhattan Institute for Policy Research";"";"";"";""
378;"American Ireland Fund";"";"";"";""
379;"WBAI Pacifica Radio";"";"";"";""
380;"National Endowment for Democracy";"";"";"";""
381;"National Commission on Terrorist Attacks Upon";"";"";"";""
382;"College of William & Mary";"";"";"";""
383;"Miller Center of Public Affairs, University o";"";"";"";""
384;"United Nations Department of Public Awareness";"";"";"";""
385;"Council on Foreign Relations";"";"";"";""
386;"TD Waterhouse Investment Conference";"";"";"";""
387;"National Defence University";"";"";"";""
388;"University of California at Berkeley";"";"";"";""
389;"White House Correspondents' Association";"";"";"";""
390;"Emory University";"";"";"";""
391;"Vassar University";"";"";"";""
392;"Knox College";"";"";"";""
393;"Louisiana State Assembly";"";"";"";""
394;"Harding University";"";"";"";""
395;"Federalist Society";"";"";"";""
396;"U.S. Naval Academy";"";"";"";""
397;"Liberty Coalition";"";"";"";""
398;"New Birth Missionary Baptist Church";"";"";"";""
399;"Liberty University";"";"";"";""
400;"Equality Now";"";"";"";""
401;"United Nations Human Rights Council";"";"";"";""
402;"Virginia Military Institute";"";"";"";""
403;"Virginia Polytechnic Institute and State Univ";"";"";"";""
404;"Miller Center of Public Affairs";"";"";"";""
405;"United States House Committee on Oversight an";"";"";"";""
406;"Virginia State Assembly";"";"";"";""
407;"Thomas Road Baptist Church";"";"";"";""
408;"U.S. Joint House Committee on Iraq";"";"";"";""
409;"Columbia University World Leaders Forum";"";"";"";""
410;"Duke University School of Law";"";"";"";""
411;"Military Reporters & Editors Association";"";"";"";""
412;"World Economic Forum";"";"";"";""
413;"Conservative Political Action Conference (CPA";"";"";"";""
414;"Israeli Presidential Conference";"";"";"";""
415;"U.S. Coast Guard Academy";"";"";"";""
416;"German Marshal Fund";"";"";"";""
417;"Republican Governors Associatio";"";"";"";""
418;"Hillsdale College";"";"";"";""
419;"Munich Security Conference";"";"";"";""
420;"Conservative Political Action Conference";"";"";"";""
421;"Conservative Political Action Committee";"";"";"";""
422;"University of California, Merced";"";"";"";""
423;"University of Illinois at Urbana-Champaign";"";"";"";""
424;"Cairo University";"";"";"";""
425;"MMA American Wing";"";"";"";""
426;"Our Lady of Perpetual Help Basilica";"";"";"";""
427;"Brookings Institute";"";"";"";""
428;"International Olympic Committee";"";"";"";""
429;"Lantos Human Rights Commission";"";"";"";""
430;"Georgetown University";"";"";"";""
431;"New America Foundation";"";"";"";""
432;"United Nations Committee on the Status of Wom";"";"";"";""
433;"U.S. House of Represenatives";"";"";"";""
434;"American Israel Public Affairs Committee (AIP";"";"";"";""
435;"Georgia NAACP 20th Annual Freedom Fund Banque";"";"";"";""
436;"The Economic Club";"";"";"";""
437;"American Political Science Association";"";"";"";""
438;"University of Cambridge";"";"";"";""
439;"University of Central Florida";"";"";"";""
440;"University of Arizona";"";"";"";""
441;"Internet Corporation for Assigned Names and N";"";"";"";""
442;"Washington & Lee University";"";"";"";""
443;"California Institute of Technology";"";"";"";""
444;"National Defense University";"";"";"";""
445;"University of Washington";"";"";"";""
446;"Asia Pacific Economic Cooperation";"";"";"";""
447;"Occupy Wall Street";"";"";"";""
448;"US Air Force Academy";"";"";"";""
449;"Lyndon Baines Johnson Library and Museum";"";"";"";""
450;"Ministerial Conference on Internet Freedom";"";"";"";""
451;"U.S. Embassy (Iraq)";"";"";"";""
452;"New Hope Baptist Church";"";"";"";""
453;"Northwestern University Law School";"";"";"";""
454;"East Anglia's Children's Hospices";"";"";"";""
455;"F2C: Freedom to Connect";"";"";"";""
456;"Wellesley High School";"";"";"";""
457;"Wikimania";"";"";"";""
458;"U.S. House Financial Services Committee";"";"";"";""
459;"National Journal";"";"";"";""
460;"Wired Conference";"";"";"";""
461;"Federal Communications Commission";"";"";"";""
462;"National Prayer Breakfast";"";"";"";""
463;"University of Southern California";"";"";"";""
464;"Southern Methodist University";"";"";"";""
465;"Human Rights First";"";"";"";""
466;"RSA Conference";"";"";"";""
467;"U.S. Senate Armed Forces Committee";"";"";"";""
468;"National Cable & Telecommunications Associati";"";"";"";""
469;"U.S. State Department George Marshall Confere";"";"";"";""
470;"North Carolina State University";"";"";"";""
471;"Brookings Institution";"";"";"";""
472;"Aspen Institute";"";"";"";""
473;"American Israel Public Affairs Committee";"";"";"";""
474;"Benedict College";"";"";"";""
475;"Sweet Briar College";"";"";"";""
476;"U.S. Embassy in Cuba";"";"";"";""
477;"U.S. Senate Armed Services Committee (SASC)";"";"";"";""
478;"University of Missouri";"";"";"";""
479;"Chicago City Council";"";"";"";""
480;"2015 United Nations Climate Change Conference";"";"";"";""
481;"Japan National Press Club";"";"";"";""
482;"Archbishop Rummel High School";"";"";"";""
483;"Basilica of the National Shrine of the Immacu";"";"";"";""
484;"United Nations Climate Summit";"";"";"";""
485;"Norwich University";"";"";"";""
486;"University of Texas - Austin";"";"";"";""
487;"Heritage Foundation";"";"";"";""
488;"British Academy";"";"";"";""
489;"2D Stryker Cavalry, United States Army";"";"";"";""
490;"Schomburg Center for Research in Black Cultur";"";"";"";""
491;"Christian Recorder";"";"";"";""
492;"National Religious Training School";"";"";"";""
493;"Confine Project";"";"";"";""
494;"Jewish Theological Seminary of America";"";"";"";""
495;"Replican Party (United States)";"";"";"";""
496;"U.S. Representative (NY)";"";"";"";""
497;"Democratic Party";"";"";"";""
498;"U.S. Ambassador to the United Nations";"";"";"";""
499;"Führer of the Third Reich";"";"";"";""
500;"Aliance for Climate Protection";"";"";"";""
501;"Vice President of the United States";"";"";"";""
502;"National Science Foundation";"";"";"";""
503;"African Methodist Episcopal Zion Church";"";"";"";""
504;"U.S. Representative (NC)";"";"";"";""
505;"Mayor of Jackson, MS";"";"";"";""
506;"U.S. Representative (SC)";"";"";"";""
507;"North Tonawanda High School";"";"";"";""
508;"University of California, Los Angeles";"";"";"";""
509;"New York City College";"";"";"";""
510;"George F. Slater Fund for the Education of Fr";"";"";"";""
511;"The Christian Recorder";"";"";"";""
512;"Illinois State Senate";"";"";"";""
513;"Office of the President-Elect";"";"";"";""
514;"U.S. Representative (TX)";"";"";"";""
515;"U.S. Representative (CA)";"";"";"";""
516;"U.S. Representative (MA)";"";"";"";""
517;"A. Philip Randolph Institute";"";"";"";""
518;"U.S. Representative (GA)";"";"";"";""
519;"First Presbyterian Church";"";"";"";""
520;"Governor of South Carolina";"";"";"";""
521;"U.S. Senator (SC)";"";"";"";""
522;"Sauk Tribe";"";"";"";""
523;"U.S. Senator (MS)";"";"";"";""
524;"U.S. Commodity Futures Trading Commission";"";"";"";""
525;"City College of New York";"";"";"";""
526;"First Baptist Church of West Dallas";"";"";"";""
527;"Students for a Democratic Society";"";"";"";""
528;"Permanent Representative to the United Nation";"";"";"";""
529;"Leader of the Free French";"";"";"";""
530;"Mayor of Fayette, MS";"";"";"";""
531;"U.S. Senator (MA)";"";"";"";""
532;"Iroquois Confederacy of Nations";"";"";"";""
533;"Nez Percé Tribe";"";"";"";""
534;"Choctaw Tribe";"";"";"";""
535;"Creek Tribe";"";"";"";""
536;"Seneca Tribe";"";"";"";""
537;"Shawnee Tribe";"";"";"";""
538;"United States Army";"";"";"";""
539;"U.S. Department of Defense";"";"";"";""
540;"Defense of Henry Sweet";"";"";"";""
541;"United States Court of Appeals for the Distri";"";"";"";""
542;"Southern Conference for Human Welfare";"";"";"";""
543;"Japanese American Citizens League";"";"";"";""
544;"Frankean Synod of the Lutheran Church";"";"";"";""
545;"United Steelworkers of America";"";"";"";""
546;"United Church of Christ";"";"";"";""
547;"Catholic Worker Movement";"";"";"";""
548;"General of the Army";"";"";"";""
549;"President of the Republic of Ireland";"";"";"";""
550;"Chatham College";"";"";"";""
551;"Committee to Defend Negro Leadership";"";"";"";""
552;"Liberia College";"";"";"";""
553;"UN Commission on Human Rights";"";"";"";""
554;"Black Muslims";"";"";"";""
555;"Women's Social and Political Union";"";"";"";""
556;"Imperial House of Japan";"";"";"";""
557;"Emperor of Japan";"";"";"";""
558;"United Presbyterian Church";"";"";"";""
559;"U.S. Senator (MN)";"";"";"";""
560;"American Railway Union";"";"";"";""
561;"Social Democratic Party of America";"";"";"";""
562;"President of the Republic of South Africa";"";"";"";""
563;"Mississippi Freedom Democratic Party";"";"";"";""
564;"Senior United States Circuit Judge";"";"";"";""
565;"President of France";"";"";"";""
566;"The North Star";"";"";"";""
567;"Center for Defense Information";"";"";"";""
568;"Governor of Alabama";"";"";"";""
569;"National Liberty Party";"";"";"";""
570;"Boston City Council";"";"";"";""
571;"Prime Minister of Israel";"";"";"";""
572;"Pennsylvania Delegate";"";"";"";""
573;"Cuban Anti-Slavery Committee";"";"";"";""
574;"Fifteenth Street Presbyterian Church";"";"";"";""
575;"Shiloh Presbyterian Church in NYC";"";"";"";""
576;"Brick Presbyterian Church";"";"";"";""
577;"Atlanta Constitution";"";"";"";""
578;"Democratic Party (United States)";"";"";"";""
579;"First Lady of the United States";"";"";"";""
580;"U.S. Department of State";"";"";"";""
581;"U.S. Senator (NY)";"";"";"";""
582;"U.S. Representative (VA)";"";"";"";""
583;"Boston University";"";"";"";""
584;"Socialist Party of America";"";"";"";""
585;"Mayor of Minneapolis, MN";"";"";"";""
586;"U.S. Senator (LA)";"";"";"";""
587;"I. F. Stone’s Weekly";"";"";"";""
588;"Prime Minister of India";"";"";"";""
589;"Colored Caulkers' Trades Union Society of Bal";"";"";"";""
590;"Institutional Church";"";"";"";""
591;"Paris Antislavery Conference";"";"";"";""
592;"Governor of Mississippi";"";"";"";""
593;"Federal Bureau of Investigations";"";"";"";""
594;"Governor of North Carolina";"";"";"";""
595;"Manual Training and Industrial School";"";"";"";""
596;"South for the Fellowship of Reconciliation";"";"";"";""
597;"U.S. Representative (AL)";"";"";"";""
598;"University Methodist Church";"";"";"";""
599;"Confederate States of America";"";"";"";""
600;"National Rainbow Coalition";"";"";"";""
601;"National Afro-American Council";"";"";"";""
602;"Association of Southern Women for the Prevent";"";"";"";""
603;"American Jewish Congress";"";"";"";""
604;"Church Extension Society, AME Church";"";"";"";""
605;"First Church of Boston";"";"";"";""
606;"Atlanta Baptist College";"";"";"";""
607;"University of Chicago";"";"";"";""
608;"OH State Legislator";"";"";"";""
609;"Defendants (Amistad slaves)";"";"";"";""
610;"U.S. Representative (MS)";"";"";"";""
611;"Spelman College";"";"";"";""
612;"Chicano Political Party";"";"";"";""
613;"U.S. Senator (NM)";"";"";"";""
614;"General Secretary of the Communist Party";"";"";"";""
615;"National Association of Negro Women";"";"";"";""
616;"U.S. Representative (OH)";"";"";"";""
617;"GA State Legislator";"";"";"";""
618;"University of Virginia";"";"";"";""
619;"Temple Shaare Emeth";"";"";"";""
620;"Redstockings";"";"";"";""
621;"Royal Family of the U.K.";"";"";"";""
622;"Northside Center for Child Development";"";"";"";""
623;"Nation of Islam";"";"";"";""
624;"King of England";"";"";"";""
625;"Chicago Teachers Union";"";"";"";""
626;"Commonplace";"";"";"";""
627;"ACT UP";"";"";"";""
628;"Governor of Florida";"";"";"";""
629;"United States Department of Justice";"";"";"";""
630;"Muslim Mosque, Inc.";"";"";"";""
631;"Universal Negro Improvement Association";"";"";"";""
632;"Children's Defense Fun";"";"";"";""
633;"Christ Church Bay Ridge";"";"";"";""
634;"Louisville Times";"";"";"";""
635;"U.S. Army";"";"";"";""
636;"National Catholic Conference";"";"";"";""
637;"Parents' Workshop for Equality in New York Ci";"";"";"";""
638;"Emperor of the French";"";"";"";""
