"per_ID";"person";"loc_born_ID";"loc_born";"date_born";"date_died";"race";"gender";"disability"
290;"William Lloyd Garrison";0;"";"";"";"";"";""
291;"William Monroe Trotter";0;"";"";"";"";"";""
292;"William N. Jones";0;"";"";"";"";"";""
293;"William Pickney";0;"";"";"";"";"";""
295;"William Smith";0;"";"";"";"";"";""
296;"Winona LaDuke";0;"";"";"";"";"";""
297;"Winston Churchill";0;"";"";"";"";"";""
298;"Woodrow Wilson";0;"";"";"";"";"";""
299;"Zebulon Baird Vance";0;"";"";"";"";"";""
300;"A. B. Spellman";0;"";"";"";"";"";""
301;"Alex Haley";0;"";"";"";"";"";""
302;"Bernice Bass";0;"";"";"";"";"";""
303;"Claude Lewis";0;"";"";"";"";"";""
304;"Cornel West";0;"";"";"";"";"";""
305;"Daniel Hannan";0;"";"";"";"";"";""
306;"Eleanor Fischer";0;"";"";"";"";"";""
307;"Harvey Milk";0;"";"";"";"";"";""
308;"John Briggs";0;"";"";"";"";"";""
309;"Les Crane";0;"";"";"";"";"";""
310;"Milton Henry";0;"";"";"";"";"";""
311;"Mitt Romney";0;"";"";"";"";"";""
312;"Pierre Berton";0;"";"";"";"";"";""
313;"Robert Penn";0;"";"";"";"";"";""
314;"Stan Bernard";0;"";"";"";"";"";""
315;"Robert Gates";0;"";"";"";"";"";""
316;"Camilo Mejía";0;"";"";"";"";"";""
317;"Glenn Greenwald";0;"";"";"";"";"";""
318;"Dan Geer";0;"";"";"";"";"";""
319;"Frances Watkins Harper";0;"";"";"";"";"";""
320;"Abigail Kelley Foster";0;"";"";"";"";"";""
321;"Lucretia Mott";0;"";"";"";"";"";""
322;"Ferdinand L. Barnett";0;"";"";"";"";"";""
323;"Mabel Vernon";0;"";"";"";"";"";""
324;"Wyatt Tee Walker";0;"";"";"";"";"";""
325;"James Forten & Russell Perrott";0;"";"";"";"";"";""
326;"Prince Saunders";0;"";"";"";"";"";""
327;"James Farmer";0;"";"";"";"";"";""
328;"Langston Hughes";0;"";"";"";"";"";""
329;"Hilary Teague";0;"";"";"";"";"";""
330;"M. Edward Bryant";0;"";"";"";"";"";""
331;"Yuri Kochiyama";0;"";"";"";"";"";""
332;"Sarah Patton Boyle";0;"";"";"";"";"";""
333;"Anne Braden";0;"";"";"";"";"";""
334;"Robert Purvis";0;"";"";"";"";"";""
335;"Samuel Ringgold Ward";0;"";"";"";"";"";""
336;"Mrs. Martin Luther King, Jr.";0;"";"";"";"";"";""
337;"James McCune Smith";0;"";"";"";"";"";""
