"spe_ID";"spe_type";"spe_desc";"spe_subj";"spe_date";"per_ID";"person";"per_sec_ID";"person_sec";"loc_ID";"loc";"sit_ID";"site";"gat_ID";"gat";"org_spon_ID";"sponsor";"org_ID";"org_to";"public";"press";"radio";"tv";"video";"text";"source_list"
148;"speech";"Address to the first Montgomery Improvement A";"";"1955-12-05";47;"Martin Luther King, Jr.";0;"";52;"Montgomery, AL";35;"Holt Street Baptist Church";115;"First Mass Meeting of the Montgomery Improvem";0;"";43;"Montgomery Improvement Association";0;0;0;0;"";"";"http://kingencyclopedia.stanford.edu/encyclop"
149;"speech";"The Real Sexual Revolution";"";"1969-00-00";125;"Betty Friedan";0;"";10;"Chicago, IL";0;"";116;"First National Conference for the Repeal of A";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=KdoaEQoc284"
150;"speech";"Speech at SNCC Founding Conference";"";"1960-04-00";126;"James M. Lawson Jr.";0;"";53;"Raleigh, NC";36;"Shaw University";117;"Founding Conference of the Student Nonviolent";0;"";44;"Student Nonviolent Coordinating Committee";0;0;0;0;"";"";"https://books.google.com/books/about/We_Want_"
151;"speech";"Address to the Founding Convention of the Nat";"";"1890-02-18";41;"Elizabeth Cady Stanton";0;"";13;"Washington, D.C.";0;"";118;"Founding Convention of the National American ";0;"";45;"National American Woman Suffrage Association";0;0;0;0;"";"";"https://books.google.com/books?id=ovDtAAAAMAA"
152;"speech";"Uncle Tom Is Dead!";"Labor";"1851-10-27";127;"Willaim R. Hood";0;"";54;"Cincinnati, OH";0;"";119;"Founding Convention of the National Negro Lab";0;"";46;"National Negro Labor Council";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
153;"speech";"The Negro and the New South";"";"1912-05-07";128;"Willis D. Weatherford";0;"";18;"Nashville, TN";0;"";120;"Founding Meeting of the Southern Sociological";0;"";47;"Southern Sociological Congress";0;0;0;0;"";"";"https://books.google.com/books?id=4yESAAAAYAA"
154;"speech";"It Is Time To Call A Halt";"Resistance";"1890-01-00";129;"T. Thomas Fortune";0;"";10;"Chicago, IL";0;"";121;"Founding of the National Afro-American League";0;"";48;"National Afro-American League";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
155;"speech";"Eulogy on Captain Paul Cuffe";"";"1817-10-21";130;"Peter Williams, Jr.";0;"";2;"New York City, NY";37;"New York African Institution";122;"Funeral for Captain Paul Cuffe";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
156;"speech";"Remarks At Funeral Services For Medgar Evers";"";"1963-06-15";25;"Roy Wilkins";0;"";55;"Jackson, MS";0;"";123;"Funeral for Medgar Evers";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/We_Want_"
157;"speech";"The Legacy of George Jackson";"George Jackson, Soledad Brothers";"1971-08-00";131;"Angela Davis";0;"";56;"Oakland, CA";38;"St. Augustine's Episcopal Church";124;"Funeral of George Jackson";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
158;"eulogy";"The Ku Klux of the North";"";"1871-10-16";132;"Isaiah C. Wears";0;"";57;"Passyunk, PA";39;"Lebanon Cemetary";125;"Funeral of Octavius V. Catto";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
159;"eulogy";"Tribute To A Falled Black Soldier";"Sergeant Joseph Wilson";"1863-09-08";133;"J. Stanley";0;"";10;"Chicago, IL";40;"Bethel Church";126;"Funeral of Sergeant Joseph Wilson";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
160;"speech";"Eulogy on William Wilberforce";"";"1833-12-06";134;"William Whipper";0;"";16;"Philadelphia, PA";41;"Second African Presbyterian Church";127;"Funeral of William Wilberforce";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
161;"speech";"God Made A Farmer Speech to the FFA";"";"1978-11-12";135;"Paul Harvey";0;"";58;"Kansas City, MO";0;"";128;"Future Farmers of America Convention";0;"";49;"National FFA Organization";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/paul"
